File Name: MembranePDE_ROISolution.txt
Array Dimension: 50
Stress, MPa 7
Thickness, um 1
Gap Distance, um 25
Width, mm 20
Bias, V 0
ROIDimension, mm 20
Mesh Size, mm 0.4
Membrane Tension, MKS 7
Peak Deflection, um 0
Membrane Deflection data, um (below) 
-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	
-0.4	0	0.4	0.8	1.2	1.6	2	2.4	2.8	3.2	3.6	4	4.4	4.8	5.2	5.6	6	6.4	6.8	7.2	7.6	8	8.4	8.8	9.2	9.6	10	10.4	10.8	11.2	11.6	12	12.4	12.8	13.2	13.6	14	14.4	14.8	15.2	15.6	16	16.4	16.8	17.2	17.6	18	18.4	18.8	19.2	19.6	20	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0601064	0.106044	0.138802	0.15958	0.169723	0.170652	0.163797	0.150539	0.132159	0.109822	0.0845608	0.0572952	0.0288519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0743746	0.153507	0.217166	0.265858	0.300404	0.321907	0.331687	0.331211	0.322008	0.30559	0.283386	0.256697	0.226667	0.194288	0.160415	0.125807	0.0911628	0.0571695	0.0245416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0998529	0.199791	0.284102	0.352654	0.405658	0.443686	0.467657	0.478787	0.478526	0.46846	0.450217	0.425377	0.395397	0.361563	0.324974	0.286549	0.247059	0.207174	0.167515	0.128707	0.0914244	0.0564198	0.0245481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0.0736978	0.193458	0.298719	0.388769	0.463152	0.521739	0.564779	0.592914	0.607169	0.608887	0.599647	0.581152	0.555116	0.52316	0.486733	0.44707	0.405182	0.361882	0.317826	0.273583	0.229689	0.186713	0.145297	0.106194	0.0702809	0.0385561	0.0121306	0	0	0	0	0	0	0	0	0	0	0	0	
5	2	0	0	0	0	0	0	0	0	0	0	0	0.136006	0.259564	0.369659	0.46536	0.545915	0.610847	0.660034	0.69377	0.712784	0.718219	0.711558	0.694517	0.668908	0.636507	0.598938	0.55759	0.51359	0.467808	0.420905	0.373398	0.325735	0.278372	0.231833	0.186754	0.143912	0.104231	0.0687753	0.038728	0.0153611	0	0	0	0	0	0	0	0	0	0	0	
6	2.4	0	0	0	0	0	0	0	0	0	0.0356327	0.172756	0.298718	0.412487	0.513019	0.599344	0.670679	0.72653	0.766792	0.791821	0.802455	0.799981	0.786044	0.762504	0.731273	0.694153	0.65271	0.608202	0.561564	0.513457	0.464333	0.414538	0.364398	0.314299	0.264748	0.216408	0.170116	0.126879	0.0878559	0.0543277	0.0276571	0.00924912	0.000510525	0	0	0	0	0	0	0	0	0	
7	2.8	0	0	0	0	0	0	0	0	0.0498768	0.186369	0.312935	0.428654	0.5325	0.623409	0.700385	0.762617	0.809605	0.841281	0.858088	0.861009	0.851519	0.831458	0.802851	0.767694	0.727762	0.684478	0.638854	0.591525	0.542841	0.492988	0.44211	0.390417	0.338257	0.286166	0.234883	0.185353	0.138709	0.0962381	0.0593417	0.0294906	0.00817881	-0.00311988	-0.00298856	0	0	0	0	0	0	0	0	
8	3.2	0	0	0	0	0	0	0	0.0461812	0.180336	0.305569	0.421182	0.526301	0.619915	0.700958	0.768416	0.821461	0.859603	0.882834	0.891726	0.887465	0.871778	0.846765	0.814649	0.777494	0.736976	0.694241	0.649896	0.604113	0.556808	0.507821	0.457082	0.404711	0.351079	0.296818	0.242815	0.190184	0.140226	0.0943923	0.0542276	0.0213232	-0.00273355	-0.0164026	-0.0182276	-0.00686306	0	0	0	0	0	0	0	
9	3.6	0	0	0	0	0	0	0.0283453	0.158805	0.280955	0.394397	0.49852	0.592513	0.675402	0.746132	0.803679	0.847211	0.876265	0.890923	0.891946	0.880805	0.859589	0.830758	0.796799	0.759839	0.721345	0.681999	0.641761	0.600113	0.556364	0.509932	0.460535	0.408273	0.353637	0.297459	0.240861	0.185192	0.131975	0.0828506	0.0395261	0.00371851	-0.0228921	-0.0387059	-0.0422365	-0.0321342	-0.00719899	0	0	0	0	0	0	
