File Name: RealElectrode.txt
Array Dimension: 50
Stress, MPa 7
Thickness, um 1
Gap Distance, um 25
Width, mm 20
Bias, V 0
ROIDimension, mm 20
Mesh Size, mm 0.4
Membrane Tension, MKS 7
Peak Deflection, um 0
-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	
-0.8	-0.4	0	0.4	0.8	1.2	1.6	2	2.4	2.8	3.2	3.6	4	4.4	4.8	5.2	5.6	6	6.4	6.8	7.2	7.6	8	8.4	8.8	9.2	9.6	10	10.4	10.8	11.2	11.6	12	12.4	12.8	13.2	13.6	14	14.4	14.8	15.2	15.6	16	16.4	16.8	17.2	17.6	18	18.4	18.8	19.2	19.6	20	
0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
1	0.4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	114.204	127.933	147.62	122.276	109.851	99.4052	91.0482	84.9419	81.2612	80.1275	81.5484	85.4019	91.4778	99.5464	109.415	120.958	144.291	125.584	112.848	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
2	0.8	100	100	100	100	100	100	100	100	100	100	100	100	100	100	118.508	145.449	121.783	98.5951	79.5838	77.0458	75.0798	73.6129	72.5858	71.9511	71.6728	71.7255	72.0943	72.7752	73.7749	75.1113	76.8134	78.9222	81.4917	98.8952	119.971	141.285	116.528	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
3	1.2	100	100	100	100	100	100	100	100	100	100	100	100	114.186	148.179	113.569	85.1649	76.7709	73.6058	71.0814	69.1073	67.6082	66.521	65.7933	65.3822	65.2544	65.3863	65.7639	66.3834	67.251	68.3834	69.8073	71.5599	73.6893	76.2552	79.3301	86.9482	112.316	143.299	112.507	100	100	100	100	100	100	100	100	100	100	100	100	
4	1.6	100	100	100	100	100	100	100	100	100	100	100	137.127	124.881	84.2887	76.1384	72.2466	69.0991	66.5856	64.6144	63.1082	62.0006	61.2346	60.7614	60.5403	60.5393	60.7352	61.1145	61.6736	62.4189	63.3669	64.5437	65.9846	67.7344	69.8476	72.389	75.4353	79.0782	86.3578	122.254	132.959	100	100	100	100	100	100	100	100	100	100	100	
5	2	100	100	100	100	100	100	100	100	100	107.736	152.936	96.3016	77.6204	72.8304	68.9301	65.7807	63.27	61.3049	59.8061	58.7048	57.9401	57.4579	57.2107	57.1581	57.2678	57.5164	57.8904	58.3866	59.0125	59.7853	60.7318	61.8875	63.2959	65.0087	67.0856	69.5959	72.62	76.2527	80.6079	96.9268	147.083	106.724	100	100	100	100	100	100	100	100	100	
6	2.4	100	100	100	100	100	100	100	100	118.269	138.755	81.3604	75.4096	70.5548	66.6124	63.4389	60.9187	58.957	57.4728	56.3954	55.661	55.2111	54.992	54.9553	55.059	55.269	55.5612	55.9218	56.3488	56.8512	57.4486	58.1699	59.0524	60.1401	61.4839	63.1409	65.1751	67.6594	70.6772	74.327	78.7267	84.0212	134.331	115.948	100	100	100	100	100	100	100	100	
7	2.8	100	100	100	100	100	100	100	121.401	131.344	80.2413	74.1254	69.1542	65.1327	61.9094	59.364	57.3985	55.9305	54.8877	54.2046	53.8196	53.6739	53.7117	53.881	54.1363	54.4407	54.7683	55.1055	55.4519	55.8197	56.2321	56.7222	57.3305	58.1034	59.0927	60.3546	61.9502	63.9468	66.4197	69.4558	73.1571	77.6473	83.0791	127.681	118.675	100	100	100	100	100	100	100	
8	3.2	100	100	100	100	100	100	117.982	131.082	80.0174	73.6561	68.5091	64.3651	61.0613	58.4702	56.4894	55.034	54.0307	53.4132	53.1186	53.0846	53.2493	53.5514	53.933	54.3425	54.7384	55.0927	55.3927	55.6409	55.8544	56.0625	56.3039	56.6245	57.0748	57.709	58.584	59.7596	61.2994	63.2729	65.7579	68.8445	72.6398	77.2745	82.9125	127.394	115.639	100	100	100	100	100	100	
9	3.6	100	100	100	100	100	107.527	137.828	80.6301	73.9268	68.5319	64.2118	60.7886	58.1247	56.1109	54.6588	53.6937	53.1495	52.9633	53.0721	53.4103	53.9093	54.4986	55.1101	55.6832	56.1702	56.5408	56.7838	56.9076	56.9367	56.9092	56.872	56.8782	56.9843	57.2482	57.7291	58.4867	59.5826	61.0821	63.056	65.5849	68.7629	72.7036	77.5476	83.4729	133.305	106.501	100	100	100	100	100	
10	4	100	100	100	100	100	150.963	82.0651	74.8999	69.1661	64.6014	61.0076	58.2332	56.16	54.694	53.7582	53.2865	53.2178	53.491	54.0409	54.7951	55.6733	56.5908	57.4637	58.218	58.7973	59.1691	59.3269	59.288	59.0891	58.7803	58.4199	58.0702	57.7952	57.6584	57.7223	58.0481	58.6967	59.7302	61.2143	63.2216	65.8357	69.1562	73.3054	78.4369	84.7475	144.864	100	100	100	100	100	
11	4.4	100	100	100	100	135.239	96.409	76.578	70.39	65.4916	61.6588	58.7217	56.5498	55.0413	54.115	53.7041	53.7499	54.1957	54.9812	56.0363	57.2777	58.6076	59.9184	61.1025	62.0654	62.7389	63.0895	63.1199	62.8634	62.3747	61.7209	60.9745	60.2096	59.499	58.9136	58.5208	58.3846	58.5665	59.1264	60.1258	61.6306	63.7154	66.4678	69.995	74.4306	79.9452	97.0184	130.798	100	100	100	100	
12	4.8	100	100	100	113.29	123.383	79.0114	72.2218	66.8749	62.7125	59.541	57.2137	55.6182	54.6669	54.2906	54.4323	55.0407	56.0641	57.4425	59.0994	60.9355	62.8269	64.631	66.8077	68.8715	69.8263	69.6602	68.6646	67.3691	66.4579	65.8135	64.5959	63.3341	62.1118	61.0089	60.1	59.4538	59.1331	59.1969	59.7025	60.7098	62.2848	64.5047	67.4631	71.2769	76.0953	82.1114	120.484	111.479	100	100	100	
13	5.2	100	100	100	145.031	85.4019	74.7274	68.7851	64.1755	60.6742	58.1134	56.3663	55.3364	54.95	55.1497	55.8889	57.1259	58.8155	60.8997	63.2953	65.8824	71.6862	78.2313	81.6614	82.3075	82.9453	82.972	82.1804	80.2067	75.7215	69.9086	67.8381	67.5093	65.6704	63.9544	62.4463	61.2217	60.3459	59.8766	59.867	60.3702	61.4436	63.154	65.5827	68.8318	73.0316	78.3517	87.623	139.443	100	100	100	
14	5.6	100	100	117.09	112.489	78.0286	71.3048	66.0988	62.1451	59.2476	57.2609	56.0762	55.6126	55.81	56.6243	58.0216	59.9725	62.4434	65.383	71.0238	83.3006	84.6375	85.8451	87.2257	88.7641	89.8508	90.465	90.5906	90.2157	89.3324	87.1676	82.0611	69.6515	68.7329	67.7677	65.5483	63.6541	62.1534	61.1013	60.5449	60.5289	61.1009	62.3165	64.2448	66.9738	70.6175	75.3252	81.2941	110.935	114.765	100	100	
15	6	100	100	142.031	86.3709	74.573	68.5836	64.024	60.6601	58.3209	56.8807	56.2482	56.3584	57.1664	58.6429	60.7705	63.5376	66.9297	77.0579	86.1348	85.9929	88.6836	91.1607	93.2197	94.8308	95.97	96.6183	96.7615	96.3901	95.4979	94.0821	92.1424	89.5077	79.6052	68.9691	69.3841	66.7052	64.4942	62.7996	61.6584	61.1034	61.1698	61.9007	63.3521	65.5983	68.738	72.9025	78.2669	88.4788	136.713	100	100	
16	6.4	100	112.996	119.984	78.7948	71.7879	66.4332	62.4442	59.6142	57.794	56.8773	56.7902	57.4844	58.9322	61.123	64.06	67.757	79.9165	86.9032	87.8955	91.242	94.2213	96.7931	98.9232	100.583	101.752	102.411	102.55	102.162	101.242	99.7902	97.8072	95.2961	92.2611	84.7265	69.9219	70.3036	67.2864	64.8855	63.1204	62.0067	61.5636	61.8191	62.8153	64.6122	67.2938	70.9752	75.8122	82.0158	117.438	111.179	100	
17	6.8	100	125.632	98.637	75.9343	69.5508	64.7451	61.2602	58.9135	57.5759	57.16	57.6099	58.8961	61.0109	63.9661	67.7919	78.6988	87.6465	89.0615	92.8773	96.3465	99.4232	102.068	104.247	105.935	107.112	107.762	107.879	107.457	106.495	104.994	102.958	100.389	97.2931	93.676	85.5581	70.7808	70.4185	67.2529	64.8314	63.1456	62.194	61.9871	62.5511	63.9317	66.1984	69.4512	73.8289	79.5219	98.9775	122.202	100	
18	7.2	100	143.944	81.3251	73.6181	67.7622	63.429	60.3872	58.475	57.5827	57.6413	58.6143	60.4932	63.2936	67.0549	74.1848	88.4703	89.2735	93.5359	97.4785	101.05	104.203	106.901	109.11	110.807	111.975	112.601	112.681	112.213	111.198	109.64	107.544	104.913	101.755	98.0731	93.8754	81.9535	72.2004	69.7737	66.6792	64.4205	62.9713	62.322	62.4818	63.4813	65.3761	68.2521	72.2329	77.4914	84.2665	138.353	100	
19	7.6	100	120.473	78.9536	71.755	66.3408	62.41	59.7525	58.2254	57.7372	58.2374	59.71	62.1695	65.6593	70.2518	87.7	88.6892	93.1783	97.5704	101.619	105.273	108.485	111.218	113.441	115.132	116.277	116.867	116.901	116.38	115.307	113.688	111.53	108.838	105.618	101.875	97.6154	92.6553	72.8608	72.3035	68.5435	65.7295	63.8073	62.7456	62.5358	63.1937	64.7613	67.3114	70.9544	75.848	82.2131	117.834	100	
20	8	100	108.998	77.058	70.2724	65.2216	61.6264	59.295	58.1013	57.9703	58.8698	60.8051	63.8159	67.9772	77.0357	89.2517	91.788	96.5952	101.096	105.231	108.949	112.203	114.956	117.18	118.854	119.968	120.517	120.5	119.922	118.791	117.113	114.896	112.146	108.869	105.071	100.756	95.9307	85.9107	72.6117	70.3042	66.9741	64.6193	63.1867	62.6502	63.0111	64.2989	66.5746	69.9368	74.5308	80.5624	107.914	100	
21	8.4	100	99.312	75.5736	69.114	64.3532	61.0292	58.9653	58.0495	58.2222	59.4682	61.8136	65.3249	70.1111	85.3983	90.3077	94.5543	99.4684	104.057	108.26	112.024	115.306	118.068	120.283	121.935	123.015	123.519	123.452	122.821	121.635	119.902	117.632	114.831	111.506	107.661	103.299	98.4269	91.9508	73.279	71.8529	68.0669	65.3355	63.5848	62.7725	62.8864	63.9446	65.9982	69.1357	73.4922	79.2617	99.5843	100	
22	8.8	100	91.5028	74.4518	68.2377	63.697	60.5811	58.7251	58.0287	58.4447	59.9735	62.6604	66.5973	72.9971	90.0718	91.4834	96.7588	101.757	106.413	110.665	114.463	117.759	120.521	122.723	124.35	125.395	125.859	125.747	125.069	123.835	122.057	119.743	116.901	113.537	109.654	105.255	100.345	94.9299	78.2186	72.19	68.9382	65.8996	63.8934	62.8629	62.7842	63.6658	65.5503	68.5184	72.6971	78.2715	92.9126	100	
23	9.2	100	85.7177	73.6582	67.6134	63.2259	60.2562	58.5479	58.0092	58.6029	60.3414	63.2859	67.5505	76.3673	90.4936	93.0266	98.3766	103.436	108.139	112.425	116.241	119.545	122.301	124.487	126.089	127.104	127.533	127.384	126.668	125.398	123.585	121.239	118.368	114.975	111.065	106.639	101.701	96.2552	83.4582	71.9268	69.5396	66.2735	64.0818	62.8958	62.6819	63.4413	65.21	68.063	72.1216	77.5644	88.0034	100	
24	9.6	100	82.1306	73.1701	67.222	62.9227	60.0384	58.4174	57.9734	58.6756	60.5442	63.6515	68.1272	78.6593	91.1955	93.9994	99.3985	104.497	109.228	113.531	117.355	120.656	123.403	125.573	127.155	128.145	128.548	128.372	127.631	126.337	124.502	122.136	119.246	115.836	111.908	107.465	102.507	97.0399	85.6609	71.8518	69.844	66.4374	64.1352	62.8591	62.5692	63.2611	64.9668	67.7579	71.7519	77.1242	84.9761	100	
25	10	100	80.8899	72.976	67.054	62.7798	59.9209	58.3276	57.9152	58.6553	60.5717	63.7414	68.3011	79.5431	91.5239	94.4076	99.83	104.944	109.684	113.99	117.81	121.103	123.837	125.992	127.557	128.53	128.917	128.726	127.972	126.666	124.821	122.447	119.549	116.132	112.197	107.744	102.775	97.2933	86.2934	71.6952	69.843	66.3886	64.0534	62.754	62.4468	63.1253	64.8198	67.6004	71.5837	76.9441	83.9315	100	
26	10.4	100	82.0622	73.0739	67.1084	62.797	59.905	58.2806	57.8378	58.5467	60.4297	63.562	68.0782	78.8993	91.6091	94.2692	99.6893	104.797	
