File Name: WavefrontEntireData.txt
ROI Dimension, mm: 20
Pupil Radius, mm: 5
Array Dimension: 50
Width, mm: 20
Mesh Size, mm: 0.4
Wavelength, nm: 685
Phase Data, micrometers (below)
-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	
-0.4	0	0.4	0.8	1.2	1.6	2	2.4	2.8	3.2	3.6	4	4.4	4.8	5.2	5.6	6	6.4	6.8	7.2	7.6	8	8.4	8.8	9.2	9.6	10	10.4	10.8	11.2	11.6	12	12.4	12.8	13.2	13.6	14	14.4	14.8	15.2	15.6	16	16.4	16.8	17.2	17.6	18	18.4	18.8	19.2	19.6	20	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.846145	1.53792	2.0842	2.49329	2.7726	2.92847	2.96585	2.88824	2.69748	2.39377	1.97572	1.44042	0.783636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.984744	2.06065	2.97028	3.7241	4.33247	4.80534	5.15199	5.38071	5.49851	5.5108	5.42127	5.23169	4.94195	4.5501	4.05249	3.444	2.71827	1.86797	0.885078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30894	2.62575	3.76059	4.72469	5.52961	6.18703	6.70858	7.10543	7.38802	7.5656	7.64591	7.63485	7.53627	7.3518	7.08092	6.72096	6.26738	5.71401	5.05332	4.2768	3.37524	2.33901	1.15833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0.983391	2.56104	3.93839	5.12675	6.13803	6.98468	7.67961	8.23593	8.6667	8.98454	9.20116	9.32693	9.37041	9.33799	9.23364	9.05876	8.81223	8.49053	8.08801	7.59726	7.00943	6.31463	5.50232	4.5616	3.48152	2.25124	0.860256	0	0	0	0	0	0	0	0	0	0	0	0	
5	2	0	0	0	0	0	0	0	0	0	0	0	1.86607	3.51171	4.94796	6.18648	7.23969	8.12073	8.84346	9.4223	9.87204	10.2074	10.4427	10.5911	10.6643	10.6717	10.6202	10.5139	10.3537	10.1377	9.86141	9.51778	9.09794	8.59151	7.98705	7.27254	6.43568	5.46423	4.34619	3.07004	1.62478	0	0	0	0	0	0	0	0	0	0	0	
6	2.4	0	0	0	0	0	0	0	0	0	0.52014	2.46748	4.18352	5.67947	6.96724	8.05957	8.97005	9.71324	10.3046	10.7603	11.097	11.3315	11.4801	11.5576	11.5773	11.5495	11.4816	11.3776	11.2379	11.0595	10.8367	10.5607	10.2209	9.80522	9.30048	8.69299	7.96892	7.11464	6.11692	4.96315	3.6414	2.14047	0.449895	0	0	0	0	0	0	0	0	0	
7	2.8	0	0	0	0	0	0	0	0	0.770491	2.8059	4.59762	6.15697	7.49597	8.62749	9.5654	10.3246	10.9212	11.3725	11.6968	11.9129	12.0401	12.0969	12.1003	12.0652	12.0032	11.922	11.8254	11.7129	11.5803	11.4199	11.2213	10.9717	10.6571	10.2623	9.77178	9.17008	8.44204	7.57315	6.54965	5.35864	3.98811	2.42692	0.664761	0	0	0	0	0	0	0	0	
8	3.2	0	0	0	0	0	0	0	0.7631	2.89662	4.77266	6.40248	7.79807	8.97233	9.9391	10.7135	11.3117	11.7518	12.0531	12.2361	12.3226	12.3346	12.2934	12.2188	12.1275	12.0324	11.9415	11.8582	11.7808	11.7032	11.6156	11.5052	11.3571	11.1548	10.881	10.5183	10.0492	9.45707	8.72597	7.84095	6.78812	5.55464	4.12872	2.49949	0.657012	0	0	0	0	0	0	0	
9	3.6	0	0	0	0	0	0	0.505565	2.75077	4.72343	6.43459	7.89608	9.12057	10.1218	10.9146	11.5154	11.9419	12.2141	12.3535	12.3838	12.3298	12.217	12.0704	11.9127	11.7633	11.6363	11.5401	11.4771	11.4438	11.4319	11.4287	11.4189	11.3847	11.3072	11.1666	10.9433	10.6179	10.1719	9.58806	8.85004	7.94298	6.85325	5.56839	4.07705	2.36889	0.434476	0	0	0	0	0	0	
10	4	0	0	0	0	0	0	2.37401	4.45946	6.26694	7.80791	9.09467	10.1406	10.9601	11.5692	11.9854	12.2282	12.3195	12.2836	12.1473	11.9396	11.6902	11.4286	11.1816	10.9715	10.8141	10.7179	10.6835	10.7051	10.7711	10.8657	10.9702	11.0638	11.1248	11.1308	11.0596	10.8897	10.6008	10.174	9.59178	8.83818	7.8988	6.76059	5.41177	3.84169	2.04068	0	0	0	0	0	0	
